Game_ID,Blue_Team,Red_Team,Blue_Score,Red_Score,Blue_Win_Probability,Red_Win_Probability,Actual_Winner,Blue_Players,Red_Players
71669,T1,Hanwha Life eSports,4.995977997779846,1.002108079236279,0.8329286931916123,0.1670713068083876,T1,5,5
71676,Gen.G eSports,KT Rolster,4.99626487493515,0.08691037100184534,0.9829023461130297,0.017097653886970193,Gen.G eSports,5,5
71677,KT Rolster,Gen.G eSports,1.0166121981079979,4.999999403953552,0.16896756269918817,0.8310324373008119,Gen.G eSports,5,5
71682,Hanwha Life eSports,Nongshim RedForce,4.976588070392609,1.9639553950970594,0.717031468088573,0.282968531911427,Hanwha Life eSports,5,5
71683,Nongshim RedForce,Hanwha Life eSports,1.5973597488141138,4.999455511569977,0.24214104621160934,0.7578589537883906,Hanwha Life eSports,5,5
71685,T1,Gen.G eSports,3.10807216912508,3.9383945018053055,0.44108236287374697,0.5589176371262531,T1,5,5
71686,Gen.G eSports,T1,5.0,0.0011401146276182788,0.9997720290570777,0.00022797094292231624,Gen.G eSports,5,5
71687,T1,Gen.G eSports,0.32773557137120624,4.9997681975364685,0.061517661101233446,0.9384823388987666,Gen.G eSports,5,5
71691,Nongshim RedForce,KT Rolster,1.035567670462908,4.999616861343384,0.1715884021450077,0.8284115978549923,KT Rolster,5,5
71692,Nongshim RedForce,KT Rolster,0.38937833257217846,4.999995589256287,0.0722492701786914,0.9277507298213086,KT Rolster,5,5
71697,DetonatioN FocusMe,Team Secret Whales,1.9675909995436887,5.0,0.28239186250635945,0.7176081374936406,Team Secret Whales,5,5
71698,DetonatioN FocusMe,Team Secret Whales,0.9156386798790664,4.9511353969573975,0.15607191752862,0.84392808247138,Team Secret Whales,5,5
71700,MGN Vikings Esports,PSG Talon,1.0001443779274588,5.0,0.16668671867408028,0.8333132813259198,PSG Talon,5,5
71701,MGN Vikings Esports,PSG Talon,0.17678177224320316,5.0,0.03414897131477885,0.9658510286852212,PSG Talon,5,5
71706,Funplus Phoenix,Bilibili Gaming,1.6990129050100222,4.933223843574524,0.2561749481232898,0.7438250518767102,Bilibili Gaming,5,5
71707,Funplus Phoenix,Bilibili Gaming,1.3047084678978536,3.9401611164212227,0.2487589914148913,0.7512410085851087,Bilibili Gaming,5,5
71709,Team WE,Invictus Gaming,0.8646809932840731,4.999998211860657,0.14743875377284754,0.8525612462271523,Invictus Gaming,5,5
71710,Team WE,Invictus Gaming,0.9682850764303205,4.999987959861755,0.16223873648915524,0.8377612635108448,Invictus Gaming,5,5
71712,Top Esports,Funplus Phoenix,5.0,0.8265924099033697,0.8581345061139984,0.1418654938860016,Top Esports,5,5
71713,Funplus Phoenix,Top Esports,3.087814062833786,3.137398040118569,0.4960174869173319,0.5039825130826681,Funplus Phoenix,5,5
71714,Top Esports,Funplus Phoenix,4.984658896923065,1.0022843720972716,0.8325882963876358,0.16741170361236424,Top Esports,5,5
71718,Team WE,Anyone s Legend,4.919460237026215,0.4966367788902998,0.9083035666771087,0.09169643332289142,Team WE,5,5
71719,Anyone s Legend,Team WE,1.5383276906028236,4.999999046325684,0.2352784974654662,0.7647215025345339,Team WE,5,5
71724,Invictus Gaming,Bilibili Gaming,3.274280324578285,4.119443103671074,0.44284592957158386,0.5571540704284161,Invictus Gaming,5,5
